run_accession	sample_accession	sample_title	library_strategy	library_layout	instrument_platform	fastq_ftp	fastq_bytes
ERR8314284	SAMEA12813617	AD0763_T999	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/004/ERR8314284/ERR8314284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/004/ERR8314284/ERR8314284_2.fastq.gz	1752930233;1815880782
ERR8314261	SAMEA12813594	AD0792_B1094	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/001/ERR8314261/ERR8314261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/001/ERR8314261/ERR8314261_2.fastq.gz	679618291;695333219
ERR8314265	SAMEA12813598	AD0797_B755	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/005/ERR8314265/ERR8314265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/005/ERR8314265/ERR8314265_2.fastq.gz	1002341860;1057696237
ERR8314269	SAMEA12813602	AD0762_B999	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/009/ERR8314269/ERR8314269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/009/ERR8314269/ERR8314269_2.fastq.gz	1410620272;1458636409
ERR8314276	SAMEA12813609	AD0757_T755	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/006/ERR8314276/ERR8314276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/006/ERR8314276/ERR8314276_2.fastq.gz	809267254;863447938
ERR8314271	SAMEA12813604	AD0749_T1094	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/001/ERR8314271/ERR8314271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/001/ERR8314271/ERR8314271_2.fastq.gz	2135715506;2191741110
